Native form	Prefixed form	URI	Destination URL	Outgoing URI	Entity Type
GTEX-13N2G	GTEX-13N2G		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13N2G		individual_organism
GTEX-13NYB	GTEX-13NYB		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13NYB		individual_organism
GTEX-13NYC	GTEX-13NYC		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13NYC		individual_organism
GTEX-13NYS	GTEX-13NYS		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13NYS		individual_organism
GTEX-13NZ8	GTEX-13NZ8		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13NZ8		individual_organism
GTEX-13NZ9	GTEX-13NZ9		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13NZ9		individual_organism
GTEX-13NZA	GTEX-13NZA		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13NZA		individual_organism
GTEX-13NZB	GTEX-13NZB		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13NZB		individual_organism
GTEX-13O1R	GTEX-13O1R		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13O1R		individual_organism
GTEX-13O21	GTEX-13O21		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13O21		individual_organism
GTEX-13O3O	GTEX-13O3O		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13O3O		individual_organism
GTEX-13O3P	GTEX-13O3P		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13O3P		individual_organism
GTEX-13O3Q	GTEX-13O3Q		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13O3Q		individual_organism
GTEX-13O61	GTEX-13O61		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13O61		individual_organism
GTEX-13OVG	GTEX-13OVG		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13OVG		individual_organism
GTEX-13OVH	GTEX-13OVH		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13OVH		individual_organism
GTEX-13OVI	GTEX-13OVI		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13OVI		individual_organism
GTEX-13OVJ	GTEX-13OVJ		https://gtexportal.org/rest/v1/dataset/subject?datasetId=gtex_v7&subjectId=GTEX-13OVJ		individual_organism
