Native form	Prefixed form	URI	Destination URL	Outgoing URI	Entity Type
GTEX-111YS-0626-SM-5GZXV	GTEX-111YS-0626-SM-5GZXV		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-0626-SM-5GZXV		biosample
GTEX-111YS-0726-SM-5GZY8	GTEX-111YS-0726-SM-5GZY8		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-0726-SM-5GZY8		biosample
GTEX-111YS-0826-SM-5GZYK	GTEX-111YS-0826-SM-5GZYK		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-0826-SM-5GZYK		biosample
GTEX-111YS-0926-SM-5EGGI	GTEX-111YS-0926-SM-5EGGI		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-0926-SM-5EGGI		biosample
GTEX-111YS-1026-SM-5GZYE	GTEX-111YS-1026-SM-5GZYE		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-1026-SM-5GZYE		biosample
GTEX-111YS-1126-SM-5GZYQ	GTEX-111YS-1126-SM-5GZYQ		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-1126-SM-5GZYQ		biosample
GTEX-111YS-1226-SM-5EGGJ	GTEX-111YS-1226-SM-5EGGJ		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-1226-SM-5EGGJ		biosample
GTEX-111YS-1326-SM-5EGGK	GTEX-111YS-1326-SM-5EGGK		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-1326-SM-5EGGK		biosample
GTEX-111YS-1426-SM-5GID8	GTEX-111YS-1426-SM-5GID8		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-1426-SM-5GID8		biosample
GTEX-111YS-1526-SM-5GZYW	GTEX-111YS-1526-SM-5GZYW		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-1526-SM-5GZYW		biosample
GTEX-111YS-1626-SM-5GZZ9	GTEX-111YS-1626-SM-5GZZ9		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-1626-SM-5GZZ9		biosample
GTEX-111YS-1726-SM-5GIED	GTEX-111YS-1726-SM-5GIED		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-1726-SM-5GIED		biosample
GTEX-111YS-1826-SM-5GIEP	GTEX-111YS-1826-SM-5GIEP		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-1826-SM-5GIEP		biosample
GTEX-111YS-1926-SM-5GICC	GTEX-111YS-1926-SM-5GICC		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-1926-SM-5GICC		biosample
GTEX-111YS-2026-SM-5EGGL	GTEX-111YS-2026-SM-5EGGL		https://gtexportal.org/rest/v1/dataset/sample?datasetId=gtex_v7&sampleId=GTEX-111YS-2026-SM-5EGGL		biosample
